section,property,col:0,col:1,col:2,col:3,col:4,col:5,col:6,col:7
,AC grid connection type,3W+N+PE,3W+N+PE,3W+N+PE,3W+N+PE,3W+N+PE,3W+N+PE,3W+N+PE,3W+N+PE
Efficiency,MAX. efficiency,98.3%,98.3%,98.3%,98.3%,98.6%,98.6%,98.6%,98.6%
,European efficiency,97.5%,97.5%,97.5%,97.5%,98.1%,98.1%,98.1%,98.1%
,MPPT efficiency,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%,99.9%
Protection devices,DC reverse polarity protection,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,DC Switch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,AC/DC surge protection,Type II / Type II,Type II / Type II,Type II / Type II,Type II / Type II,Type II / Type II,Type II / Type II,Type II / Type II,Type II / Type II
,Insulation resistance monitoring,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,AC short-circuit protection,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Ground fault monitoring,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Grid monitoring,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Anti-islanding protection,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Residual-current monitoring unit,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,String fault monitoring,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,AFCI protection,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional
General data,Dimensions (W / H / D),425/387/147mm,425/387/147mm,425/387/147mm,425/387/147mm,425/387/178mm,425/387/178mm,425/387/178mm,425/387/178mm
,Weight,12.5kg,12.5kg,12.5kg,12.5kg,14kg,14kg,14kg,14kg
,Operating temperature range,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C,–25°C ... +60°C
,Nighttime power consumption,5.5W,5.5W,5.5W,5.5W,5.5W,5.5W,5.5W,5.5W
,Topology,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless,Transformerless
,Cooling,Natural convection,Natural convection,Natural convection,Natural convection,Natural convection,Natural convection,Natural convection,Natural convection
,Protection degree,IP66,IP66,IP66,IP66,IP66,IP66,IP66,IP66
,Relative humidity,0~100%,0~100%,0~100%,0~100%,0~100%,0~100%,0~100%,0~100%
,Altitude,4000m,4000m,4000m,4000m,4000m,4000m,4000m,4000m
,DC connection,H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional),H4/MC4(Optional)
,AC connection,Connector,Connector,Connector,Connector,Connector,Connector,Connector,Connector
,Display,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP,OLED+LED/WIFI+APP
,Interfaces: USB/RS485/WiFi /GPRS/LAN/RF,Yes/Yes/Optional/Optional/Optional/Optional,Yes/Yes/Optional/Optional/Optional/Optional,Yes/Yes/Optional/Optional/Optional/Optional,Yes/Yes/Optional/Optional/Optional/Optional,Yes/Yes/Optional/Optional/Optional/Optional,Yes/Yes/Optional/Optional/Optional/Optional,Yes/Yes/Optional/Optional/Optional/Optional,Yes/Yes/Optional/Optional/Optional/Optional
,Warranty: 5 years /10 years,Yes/Optional,Yes/Optional,Yes/Optional,Yes/Optional,Yes/Optional,Yes/Optional,Yes/Optional,Yes/Optional
